id,n_of_stars,date,text
1al,5.0,"jun 18th, 2020",Will melt your face off
1al,5.0,"jun 18th, 2020",grate
1al,5.0,"jun 18th, 2020","Quickly shipped, stealthily packaged, and the quality of the product is excellent for the price. Seamless experience."
1al,5.0,"jun 16th, 2020","Quality, consistency, stealthyand FAST. THANK YOU"
1al,5.0,"jun 16th, 2020",Amazing ship from ValleyHeat. Cannot stress enough how consistently impressed I am by these guys. Came insanely FAST!!!
1al,5.0,"jun 16th, 2020",Very Nice!  Shipping and stealth were great.
1al,5.0,"jun 16th, 2020","Great Stealth, fast, good price, great duality"
1al,5.0,"jun 15th, 2020",Mhm.
1al,5.0,"jun 15th, 2020","Some gas, the blue cookies doesnt have a strong nose but it tastes pretty good. Smooth high for both, A+"
1al,5.0,"jun 15th, 2020",Quality stuff. Fast shipping.
1al,5.0,"jun 14th, 2020","Slight issue with my order, Valleyheat offered to fix it quickly. Mimosa is fire! Blue cookies isnt as good but still smokes very well!"
1al,5.0,"jun 13th, 2020",cannot beat the quality for the price....shipping was extremely fast and very discreet..will use again and recommend
1al,5.0,"jun 13th, 2020",Fantastic as usual.
1al,5.0,"jun 13th, 2020",I'm Happy. Sweet deal on these. Thank You
1al,5.0,"jun 13th, 2020",Nice nice look no further than VH
1al,4.0,"jun 13th, 2020","Based on the reviews I expected  lot better, but it is not that bad for the price."
1al,5.0,"jun 12th, 2020",5dT2d super fast for literally traveling across the country. Good stealth and i couldnt smell shit. For around here both strains are easily considered top quality. Buds are nice and frosty and smell goddamn delicious. Legit stuff - will be getting more
1al,5.0,"jun 12th, 2020",Fire quality bud and super fast shipping.
1al,5.0,"jun 11th, 2020",awesome stuff thanks
1al,5.0,"jun 9th, 2020",might be pound for pound the best deal in VH inventory. solid all the way around
1al,5.0,"jun 9th, 2020",Always great
1al,5.0,"jun 9th, 2020",Great as always with super fast ship thankyou
1al,5.0,"jun 9th, 2020",Super fast shipping!
1al,5.0,"jun 6th, 2020",Fantastic vendor. Fantastic product and shipping speed. Fixing to order more
1al,5.0,"jun 6th, 2020",worth the cost but a little on harsher side
1al,5.0,"jun 6th, 2020",good stuff. fast shipping. first time doing business w valley and it was smooth
1al,5.0,"jun 6th, 2020",FE AS USUAL CAUSE THIS IS LEGIT LIT GAS AS USUAL SEALED AND EL PERFECTO! <3
1al,5.0,"jun 5th, 2020","This stuff is awesome! Looks, smells, and tastes fantastic. Love the cans. Fast/stealthy shipping, only took 5 days. Thank you ValleyHeat!"
1al,5.0,"jun 5th, 2020",Thanks VH!
1al,5.0,"jun 5th, 2020",everything is always great my go to vendor will be back very soon
1al,5.0,"jun 4th, 2020",Pretty good. Nose is my favorite part
1al,5.0,"jun 4th, 2020",Quality gas love that shit
1al,5.0,"jun 4th, 2020","I'm so sorry for not finalizing promptly. This is my 4th or 5th order from this vendor. Love the product quality, price and consistency. Ships way fast. Thank you thank you thank you"
1al,5.0,"jun 4th, 2020",great customer servvice thanks for helping a guiding me threw bro most def will be back soon
1al,5.0,"jun 3rd, 2020","Came on day 6. Great stuff, even better quality. Will purchase again"
1al,5.0,"jun 2nd, 2020",FLAME. Thank you!
1al,5.0,"jun 2nd, 2020",Great all around!
1al,5.0,"jun 1st, 2020",FE early been dealing with vendor so sec now lost contact but where back at it
1al,5.0,"jun 1st, 2020","Yeah, I'll be back for more."
1al,5.0,"jun 1st, 2020","I am a returning customer and I love the tins, the product is always fire! Thanks ValleyHeat."
1al,5.0,"jun 1st, 2020",Great nose!
1al,5.0,"may 31st, 2020",Valley FTW!
1al,5.0,"may 31st, 2020","The value for the money is what you should be looking at here. The bud itself is quality and for less than 35 and eighth if you get a quarter isnt bad at all. Do not expect gods next gift to earth from the bud, but it is solid."
1al,5.0,"may 30th, 2020",Fantastic as usual
1al,5.0,"may 30th, 2020","They were direct and communicative, package arrived quickly, and was packaged professionally. The product was also fantastically potent—loved it!"
1al,5.0,"may 30th, 2020",A+++
1al,5.0,"may 30th, 2020",didnt open them yet... but he came thru with that quick shipping!
1al,5.0,"may 29th, 2020","Excellent stealth, good selection, great communication. Thanks!"
1al,5.0,"may 29th, 2020",sold out in 10 hours i <3 you
1al,5.0,"may 29th, 2020",Great stealth
1al,5.0,"may 28th, 2020","FE, Have heard a lot about VH and his top notch products."
1al,5.0,"may 27th, 2020",Tins are great as always. Thanks again VH.
1al,5.0,"may 27th, 2020",Amazing stealth excellent product
1al,5.0,"may 27th, 2020","ordered on monday, recieved on friday"
1al,5.0,"may 27th, 2020",Crazy fast shipping and the bud is very nice love the tins.
1al,5.0,"may 27th, 2020",Awesome Flowers! Lit asf! Thx for taking care of us!! <3
1al,5.0,"may 23rd, 2020","For ""designer"" weed in a tin this shit reeked! Awesome product, great pricing and good stealth. Came 6 days tor to door. I'm on the East Coast and with the CoronaVirus pandemic I'm happy with that shipping speed. You just gained a new consistent customer. Thanks a bunch"
1al,5.0,"may 23rd, 2020","Valley is the best. No other vendor can do it like Valley. There's a reason for the ratings. Good product, good speed, shit is all around GOOD!"
1al,3.0,"may 23rd, 2020","6 days T2D; the bud is alr gets me high after a few bowls. looks ok, not too many crystals. smells good though, but kinda disappointed with the high (or lack there of)."
1al,5.0,"may 23rd, 2020",thanks again guys...will be back
1al,5.0,"may 23rd, 2020","Bud was good quality, shipping was fast, 10/10"
1al,5.0,"may 23rd, 2020",VH has and will be my go to
1al,5.0,"may 23rd, 2020","Great nose, get you high as hell, what more could you ask for"
1al,5.0,"may 22nd, 2020",Havnt gotten package yet but customer service has been good vendor was very helpful.
1al,5.0,"may 22nd, 2020","This is some real fire bud, especially for the price. Another W, here VH."
1al,5.0,"may 22nd, 2020",Absolutely amazing bud! 2/3 days tor to door!! Worth it
1al,3.0,"may 22nd, 2020",everything worked great except i didnt get the right strains...
1al,5.0,"may 21st, 2020","So dank, so good for the price, love these so much. Thanks valley"
1al,5.0,"may 21st, 2020",Hella fast shipping!
1al,5.0,"may 21st, 2020","Fast delivery and amazing product, as usual. I got the Blue Cookies and it's great for hanging out."
1al,5.0,"may 21st, 2020",Perfect as always.
1al,5.0,"may 20th, 2020",VALLEY HEAT THE GOAT
1al,5.0,"may 20th, 2020","as always impeccable speed, great packaging and quality products. 
Thanks y'all."
1al,5.0,"may 20th, 2020",Unbelievable and friendly communications. Never have gone wrong ordering from these guys. Keep it up
1al,5.0,"may 20th, 2020",Very informative my pack touch downed two days after he said he shipped it and not to mention its great quality bud too. I'm fucking   wit bro
