name,id,amount,price,category,main_product_name,main_product_id,shipping_from,ratings,vendor
,l2f,112 g,"$1,000",flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
,l2j,224 g,"$1,900",flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
,l2n,448 g,"$3,700",flowers,OZ EXXXOTIC SHELF (YOU PICK),kmk,United States,93,WeedNation
ON SALE! 1oz/28g Cali Orange INDOOR WEED,rgk,1 ounce,$140,flowers,ON SALE! 1oz/28g Cali Orange INDOOR WEED,rgk,United States,11,WA2018
,rgo,QP/113g,$540,flowers,ON SALE! 1oz/28g Cali Orange INDOOR WEED,rgk,United States,11,WA2018
,rgs,HP/225g,"$1,040",flowers,ON SALE! 1oz/28g Cali Orange INDOOR WEED,rgk,United States,11,WA2018
,rgw,1LB/454g,"$2,000",flowers,ON SALE! 1oz/28g Cali Orange INDOOR WEED,rgk,United States,11,WA2018
14g Gusherz Indoor Exotic Limited Run!,p11,1 piece,$105,flowers,28g Gusherz Indoor Exotic Limited Run,p0x,United States,11,triceraterps
28g Gusherz Indoor Exotic Limited Run,p0x,,$199,flowers,28g Gusherz Indoor Exotic Limited Run,p0x,United States,11,triceraterps
Purple Urkle Greenhouse,i1k,,$950,flowers,Purple Urkle Greenhouse,i1k,United States,11,BuddhaBazaar
Grade B/C - 1 oz,2w4,1 ounce,$120,flowers,Grade B/C - 1 oz,2w4,United States,471,SilentGhost
,22s,4 ounces,$475,flowers,Grade B/C - 1 oz,2w4,United States,471,SilentGhost
,22w,8 ounces,$950,flowers,Grade B/C - 1 oz,2w4,United States,471,SilentGhost
,22x,16 ounces,"$1,900",flowers,Grade B/C - 1 oz,2w4,United States,471,SilentGhost
28 grams of High End Greenhouse Bud; 3 Strains Available You Choose!,131,28 grams,$210,flowers,112g of High End Greenhouse Bud; 4 Strains Available You Choose! Combo?,6mh,United States,379,William_Shatner
56 grams of High End Greenhouse Bud; 4 Strains Available You Choose!,130,56 grams,$340,flowers,112g of High End Greenhouse Bud; 4 Strains Available You Choose! Combo?,6mh,United States,379,William_Shatner
84 grams of High End Greenhouse Bud; 4 Strains Available You Choose!,5ed,84 grams,$490,flowers,112g of High End Greenhouse Bud; 4 Strains Available You Choose! Combo?,6mh,United States,379,William_Shatner
HP of High End Greenhouse Bud; 4 Strains Available You Choose!,1s2,224 grams,"$1,050",flowers,112g of High End Greenhouse Bud; 4 Strains Available You Choose! Combo?,6mh,United States,379,William_Shatner
FULL POUND FRESH High End Greenhouse Bud; 4 Strains Available You Choose!,108,1 pound,"$1,895",flowers,112g of High End Greenhouse Bud; 4 Strains Available You Choose! Combo?,6mh,United States,379,William_Shatner
